word,tag
-,:
Lobster,NN
Roll,NN
:,:
Still,RB
one,CD
of,IN
my,PRP$
favourite,JJ
lobster,NN
roll,NN
places,NNS
",",","
and,CC
it,PRP
’,NNP
s,VBD
still,RB
yummy,VBN
like,IN
how,WRB
I,PRP
remembered,VBD
to,TO
be,VB
.,.
Huge,JJ
chunks,NNS
love,VBP
the,DT
bun,NN
The,DT
curly,JJ
fries,NNS
salad,VBP
on,IN
side,NN
were,VBD
good,JJ
too,RB
…,JJ
(,(
Translated,VBN
by,IN
Google,NNP
),)
Good,NNP
hamburgers,NNS
delicious,JJ
pale,JJ
ale,JJ
great,JJ
cocktails,NNS
Original,NNP
A,NNP
place,NN
celebrate,NN
for,IN
event,NN
celebration,NN
Food,NNP
service,NN
Value,NNP
money,NN
絕對是新加坡最好的法餐,NN
!,.
完全洗刷掉之前在台灣吃其客座的平庸印象,JJ
果然主場才是最好發揮主廚光芒的地方,NNP
Great,NNP
food,NN
&,CC
atmosphere,NN
Funny,NNP
chefs,NNS
staffs,NNS
that,IN
interacting,VBG
well,RB
with,IN
patrons,NNS
Can,MD
see,VB
passions,NNS
in,IN
their,PRP$
eyes,NNS
have,VBP
been,VBN
Hashida,NNP
Singapore,NNP
a,DT
couple,JJ
times,NNS
now,RB
am,VBP
so,RB
happy,JJ
discovered,VBN
this,DT
is,VBZ
authentic,JJ
staff,NN
are,VBP
very,RB
welcoming,VBG
One,CD
most,JJS
wonderful,JJ
lunch,NN
experiences,VBZ
We,PRP
had,VBD
5,CD
course,NN
meal,NN
few,JJ
glasses,NNS
wine,VBP
understand,JJ
why,WRB
was,VBD
hard,RB
make,JJ
reservation,NN
Only,RB
tried,VBD
burgers,NNS
but,CC
they,PRP
absolutely,RB
top,JJ
notch,NN
worth,NN
visits,NNS
crinkled,VBD
excellent,JJ
albeit,IN
wish,JJ
portion,NN
bit,NN
larger,JJR
fast,RB
Started,VBN
at,IN
high,JJ
finished,VBN
weird,JJ
cold,JJ
starters,NNS
pizza,VBP
short,JJ
ribs,NN
melts,NNS
your,PRP$
mouth,NN
lacks,NNS
flavor,VBP
cod,JJ
way,NN
salty,NN
taste,NN
desert,NN
just,RB
tasting,VBG
Steaks,NNP
Cocktails,NNP
dessert,NN
superb,NN
Beautiful,NNP
restaurant,NN
lovely,RB
ambiance,NN
from,IN
Evelyn,NNP
Amber,NNP
throughout,IN
Will,NNP
definitely,RB
back,RB
Its,PRP$
every,DT
reason,NN
got,VBD
promoted,VBN
recently,RB
ambience,RB
serviced,VBD
an,DT
awesome,JJ
team,NN
which,WDT
explained,VBD
dish,NN
Would,NNP
go,VB
again,RB
Hi,NNP
Mr,NNP
Jiro,NNP
Ono,NNP
what,WP
keeps,VBZ
you,PRP
up,RP
night,NN
?,.
Hashida…,NNP
Literally,NNP
best,JJS
ve,NN
ever,RB
Dishes,NNP
bursting,VBG
different,JJ
flavours,NNS
harmoniously,RB
Even,RB
Very,RB
impressive,JJ
defo,NN
return,NN
menu,NN
So,NNP
impressed,JJ
Nomads,NNP
placed,VBD
takeaway,RP
order,NN
beef,NN
rib,NN
sandwich,NN
wowed,VBD
meet,JJ
tender,NN
barely,RB
chew,JJ
yogurt,NN
sauce,VBP
generous,JJ
full,JJ
Amazing,NNP
experience,NN
Art,NNP
All,NNP
rounded,VBD
expertise,RB
thoughtful,JJ
impeccable,JJ
execution,NN
dishes,NNS
knowledgeable,JJ
And,CC
kudos,JJ
Alvin,NNP
who,WP
took,VBD
us,PRP
through,IN
each,DT
not,RB
recommend,VB
enough,RB
Delicious,NNP
start,VBP
finish,JJ
bisque,NN
blue,JJ
cheese,JJ
wagyu,NN
burger,NN
fish,JJ
chips,NNS
brownie,IN
all,DT
downsides,NNS
mains,NNS
quite,RB
small,JJ
price,NN
point,NN
beer,NN
selection,NN
limited,VBD
Fantastic,NNP
world,NN
8th,CD
has,VBZ
long,JJ
time,NN
customer,NN
friend,NN
atomi,VBZ
glad,VBZ
him,PRP
doing,VBG
evolution,NN
Sushi,NNP
since,IN
his,PRP$
initial,JJ
days,NNS
2nd,CD
floor,NN
Mandarin,NNP
Gallery,NNP
new,JJ
till,NN
joy,JJ
part,NN
journey,NN
Andrew,NNP
Tan,NNP
Sara,NNP
thank,VBD
support,NN
leaving,VBG
delightfully,RB
detailed,VBN
review,NN
re,NN
hear,VBP
enjoyed,VBN
Short,NNP
Rib,NNP
Sandwich,NNP
down,IN
last,JJ
loved,JJ
our,PRP$
desserts,NNS
as,IN
It,PRP
pleasure,VBZ
conversing,VBG
we,PRP
look,VBP
forward,RB
future,JJ
My,NNP
favorite,JJ
Start,NNP
Get,NNP
ask,JJ
Yakuza,NNP
anymore,RB
Thank,NNP
much,JJ
such,JJ
glowing,VBG
Chris,NNP
truly,RB
touched,VBD
kind,NN
words,NNS
will,MD
do,VB
keep,VB
delivering,NN
also,RB
strive,JJ
surpass,NN
Looking,VBG
hosting,VBG
soon,RB
-Team,NNP
Ibid,NNP
No,NNP
big,JJ
surprises,NNS
satisfactory,JJ
little,JJ
sushi,JJ
Burger,NNP
ok,MD
fantastic,JJ
Place,NNP
extremely,RB
hot,JJ
even,RB
though,IN
there,EX
room,NN
temperature,NN
32,CD
degrees,NNS
25,CD
Celebrated,NNP
wifes,NN
birthday,NN
resturant,JJ
ibid,NN
Chef,NNP
Woo,NNP
certainly,RB
did,VBD
disappoint,VB
creative,JJ
take,VB
chinese,JJ
cuisines,NNS
making,VBG
memorable,JJ
wife,NN
visit,NN
Excellent,NNP
services,NNS
Exceptional,NNP
two,CD
hours,NNS
exceptionally,RB
nicely,RB
prepared,JJ
presented,VBD
friendly,JJ
attentive,JJ
Must,NNP
try,VB
if,IN
opportunity,NN
surprise,VBP
cake,NN
macaroons,NNS
card,VBP
wedding,VBG
anniversary,JJ
Appreciate,NNP
come,NN
here,RB
mainly,RB
drinks,VBZ
Big,NNP
Jon,NNP
unforgettable,JJ
hospitality,NN
own,JJ
rights,NNS
when,WRB
ordered,VBD
serving,VBG
bread,NN
bone,NN
